crop,response,exposure,label,peak_lag,peak_effect,peak_ci_low,peak_ci_high,peak_p,peak_fdr_p,n_lag_fdr_sig,max_abs_effect
茄子,volume,pressure_msl,海平面气压,2.0,-0.04360538186172401,-0.2465260364275017,0.1593152727040537,0.6736221105306205,0.9997788117577607,0.0,0.04360538186172401
茄子,volume,radiation,短波辐射,1.0,0.10400916445890859,-0.11846941989570761,0.3264877488135248,0.35950759887883377,0.9997788117577607,0.0,0.10400916445890859
茄子,volume,temp_mean,日平均气温,0.0,0.09131402619222512,-0.1502148513571997,0.33284290374164993,0.45868693074243183,0.9997788117577607,0.0,0.09131402619222512
茄子,volume,wind_speed,日最大风速,3.0,-0.1327488861430151,-0.25834788119876523,-0.007149891087264992,0.03830503492758636,0.9102186517446264,0.0,0.1327488861430151
西红柿,price,cloud_cover,云量,5.0,-0.03160554032161864,-0.14374232326096475,0.08053124261772746,0.5806590587875502,0.9997788117577607,0.0,0.03160554032161864
西红柿,price,dew_point,露点温度,12.0,-0.10680221912695052,-0.3397124305084771,0.12610799225457603,0.36877600887925444,0.9997788117577607,0.0,0.10680221912695052
西红柿,price,et0,参考蒸散ET0,14.0,-0.10155306174067463,-0.299717395276385,0.09661127179503576,0.3151670208214503,0.9997788117577607,0.0,0.10155306174067463
西红柿,price,humidity,相对湿度,5.0,-0.07264935332129163,-0.22587564176511987,0.08057693512253661,0.3527351816158213,0.9997788117577607,0.0,0.07264935332129163
西红柿,price,pressure_msl,海平面气压,14.0,0.1265532029125221,-0.06842488461615212,0.3215312904411963,0.20331453865109883,0.9997788117577607,0.0,0.1265532029125221
西红柿,price,radiation,短波辐射,14.0,-0.0871346641483769,-0.2667466724155329,0.09247734411877911,0.34168091196884953,0.9997788117577607,0.0,0.0871346641483769
西红柿,price,temp_mean,日平均气温,13.0,-0.11910866398666016,-0.3653574105685517,0.12714008259523135,0.34311049760985723,0.9997788117577607,0.0,0.11910866398666016
