offset,mean,count,ci_low,ci_high,group,crop,response,n_units,ci_excl0
12,-0.03847116989777779,5,-0.7412881535310402,0.7271119616430487,rain,甘蓝,price,8,False
13,0.11778367024154385,4,-0.5888802282036257,0.846179192785672,rain,甘蓝,price,8,False
14,0.08637480575217071,6,-0.3913378042151115,0.7221137893755141,rain,甘蓝,price,8,False
15,0.3898037316557423,6,-0.3411923718885437,1.1311702303436508,rain,甘蓝,price,8,False
16,0.614496497999506,5,-0.43669428382171116,1.6732559225477077,rain,甘蓝,price,8,False
17,0.5438629798251217,6,-0.3625617054728075,1.414063826013709,rain,甘蓝,price,8,False
18,0.2863591323927283,7,-0.4141285667440626,1.1728115221019009,rain,甘蓝,price,8,False
19,0.5342681257607911,4,-0.6303471439264023,1.9785722204836569,rain,甘蓝,price,8,False
20,0.7791352916420968,3,-0.10247071153586756,2.029502208591135,rain,甘蓝,price,8,False
21,0.5264192070140521,5,-0.41606268426758075,1.659781347841001,rain,甘蓝,price,8,False
-14,0.0673854174461216,6,-0.18190751383284773,0.3109856898086069,rain,甘蓝,volume,8,False
-13,-0.10189237627521727,5,-0.4174416184988828,0.22808794803938454,rain,甘蓝,volume,8,False
-12,-0.15630804769184983,4,-0.4741105454221348,0.21523983767255744,rain,甘蓝,volume,8,False
-11,0.16313743391596486,6,0.01984369546528086,0.31938603589621467,rain,甘蓝,volume,8,True
-10,0.17325589977278133,7,-0.04544074001905381,0.38606813573209486,rain,甘蓝,volume,8,False
-9,0.11791751788210716,5,0.027250631130639285,0.2143019184186306,rain,甘蓝,volume,8,True
-8,0.14233823926256142,4,-0.06927202394624492,0.4376160284699338,rain,甘蓝,volume,8,False
-7,-0.13343545314407315,6,-0.2920443713644848,0.01354548744269505,rain,甘蓝,volume,8,False
-6,0.12845681276562834,6,-0.1391717876314195,0.3807706779776539,rain,甘蓝,volume,8,False
-5,-0.07793914701543196,5,-0.38339259216434457,0.26920296270066085,rain,甘蓝,volume,8,False
-4,-0.029765632814571945,7,-0.23214377242758244,0.11306849917518269,rain,甘蓝,volume,8,False
-3,-0.13206825506284953,7,-0.3399152725806192,0.09734013409506267,rain,甘蓝,volume,8,False
-2,-0.1550120682051074,4,-0.5906255063141613,0.3672979796006911,rain,甘蓝,volume,8,False
-1,-0.11193045389726893,4,-0.39740266369161564,0.3297510379663354,rain,甘蓝,volume,8,False
0,-0.1171953013312787,6,-0.36884652087673797,0.17114126976024982,rain,甘蓝,volume,8,False
1,0.20221238756244825,5,-0.3868510862136925,0.948028116323196,rain,甘蓝,volume,8,False
2,0.4878281183420803,4,-0.07232039809943507,1.5195045597716583,rain,甘蓝,volume,8,False
3,0.2234741341715576,6,-0.22523842713037365,0.930730111265994,rain,甘蓝,volume,8,False
4,0.012865768969910318,6,-0.3480098876699443,0.5339718512523045,rain,甘蓝,volume,8,False
5,0.032238961948593714,5,-0.41422993858748625,0.6214448716219255,rain,甘蓝,volume,8,False
6,-0.3915251031803035,4,-0.7027898569784444,-0.04121887974579194,rain,甘蓝,volume,8,True
7,-0.19286452242070753,6,-0.617334395157139,0.1203849587769728,rain,甘蓝,volume,8,False
8,0.16233326307267357,6,-0.22823081073789298,0.6170468958994426,rain,甘蓝,volume,8,False
9,0.1754766669022031,5,-0.22033997144655798,0.6956053982814405,rain,甘蓝,volume,8,False
10,0.050052930700586376,7,-0.31433448868553227,0.4764112318732521,rain,甘蓝,volume,8,False
11,0.01349786292623199,7,-0.24259043771097882,0.26025910283295955,rain,甘蓝,volume,8,False
12,0.04558554550966535,5,-0.2355364556902395,0.36777599481527495,rain,甘蓝,volume,8,False
13,0.05574820932975528,4,-0.0458582341760542,0.2588586157991257,rain,甘蓝,volume,8,False
14,0.06766030643003525,6,-0.2183577943915719,0.2917592825524837,rain,甘蓝,volume,8,False
15,0.2356803956400948,6,-0.14053304451085377,0.7208304705996683,rain,甘蓝,volume,8,False
16,0.18382750487667524,5,-0.09374323752754181,0.5130445709917585,rain,甘蓝,volume,8,False
17,0.1489517155618936,6,-0.306094233675004,0.6621356902324459,rain,甘蓝,volume,8,False
18,0.25905846577422575,7,-0.16758038549039617,0.8225788937920196,rain,甘蓝,volume,8,False
19,0.27512985086462427,4,-0.2681513780575396,1.0291518031299498,rain,甘蓝,volume,8,False
20,-0.0006751659254019918,3,-0.3372453797382975,0.4776123756293728,rain,甘蓝,volume,8,False
21,-0.06669790562951229,5,-0.39651179430958206,0.29959678343429835,rain,甘蓝,volume,8,False
-14,-0.21851916865419105,6,-0.4142147947841159,-0.0027624420244157974,rain,芸豆,price,8,True
-13,0.047499603019576356,5,-0.2911009734820022,0.515306415354521,rain,芸豆,price,8,False
-12,0.02781370415740418,4,-0.4070511669350018,0.5536605577075022,rain,芸豆,price,8,False
-11,-0.011894441705184833,6,-0.20973398062313636,0.21270685473923034,rain,芸豆,price,8,False
-10,0.02623534995137582,7,-0.0763131987523339,0.13097666881746384,rain,芸豆,price,8,False
-9,0.06432873354157446,5,-0.07050884619992105,0.28974681041079886,rain,芸豆,price,8,False
-8,0.1495794343619,4,-0.046096301025821254,0.380132811048413,rain,芸豆,price,8,False
-7,0.260162796584311,6,-0.01366568489135431,0.6859654910439988,rain,芸豆,price,8,False
-6,0.04553718508124501,6,-0.07687050541356626,0.16354633383870643,rain,芸豆,price,8,False
-5,0.08098882648182833,5,-0.1328244614669026,0.2297427941903861,rain,芸豆,price,8,False
-4,0.14231998307819246,7,-0.16332045206782975,0.43350338930618554,rain,芸豆,price,8,False
-3,-0.02058813209109037,7,-0.22701381959642294,0.2062920623286745,rain,芸豆,price,8,False
-2,-0.4571390315184219,4,-0.9528805751657506,0.18700473417248076,rain,芸豆,price,8,False
-1,-0.33314771940621396,4,-1.2110041701124352,0.3184184406394398,rain,芸豆,price,8,False
0,-0.10308852546130054,6,-1.0500376029862506,0.7928320539565222,rain,芸豆,price,8,False
1,-0.04899065200544719,5,-0.49314910100017356,0.47850665200603715,rain,芸豆,price,8,False
2,-0.073319508999816,4,-0.6804969390966966,0.96210380031001,rain,芸豆,price,8,False
3,-0.26103242948093625,6,-1.241227121326048,0.9461112183751393,rain,芸豆,price,8,False
4,-0.32371769631458464,6,-1.3601730693326541,0.9099644020311456,rain,芸豆,price,8,False
5,-0.7034238021351917,5,-1.754337431760761,0.47729938949741024,rain,芸豆,price,8,False
6,-0.7862565274517729,4,-2.1366259778215286,0.4469499444835499,rain,芸豆,price,8,False
7,-0.3359354036155495,6,-1.50754970196899,0.7652256649074288,rain,芸豆,price,8,False
8,0.08591867951537946,6,-0.5245584406185206,0.6895464348135673,rain,芸豆,price,8,False
9,0.024927917966409675,5,-0.7403267675761943,0.8718130917626187,rain,芸豆,price,8,False
10,-0.5301469992322182,7,-1.4215752461178124,0.3739553453619722,rain,芸豆,price,8,False
11,-0.4469667601102679,7,-1.40664378169327,0.5209779647099119,rain,芸豆,price,8,False
12,-0.7151516149252085,5,-1.96411383318638,0.7358877523864333,rain,芸豆,price,8,False
13,-0.8055191576389262,4,-2.4653343247587216,0.6223987422818303,rain,芸豆,price,8,False
14,-0.493994776648173,6,-1.7825807510583243,0.5842321318133153,rain,芸豆,price,8,False
15,0.3127316189650943,6,-0.2887153648233811,0.8771632134719418,rain,芸豆,price,8,False
16,0.3186511703879207,5,-0.38019827933260397,0.9809669171473656,rain,芸豆,price,8,False
17,0.10319738188667184,6,-0.7122230708314936,0.9035912579879755,rain,芸豆,price,8,False
