crop,model,hazard_key,hazard_label,window,beta_A,se_A,p_A,beta_C,se_C,p_C,beta_B,se_B,p_B,delta_C_to_B,r2_A,r2_C,r2_B,n,fdr_p_volume
甘蓝,per-crop HAC,soil_z,土壤水分异常,lag0-2,-0.2199779156284346,0.12231685325387276,0.07210938775892166,-0.017618925173965228,0.010745719221806147,0.10108364007004106,-0.017950287792072153,0.010917527742894851,0.10014078543002881,-0.000331362618106925,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.06245027048390853,0.19592851559035593,0.7499236201089545,0.021797279880485722,0.014281980723319817,0.1269579559222789,0.021279949741777073,0.013601778241276894,0.11770075050586987,-0.0005173301387086486,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,wind,风速,lag0-2,0.13407230279782942,0.09726184909526366,0.16805898012070652,0.00948845209253523,0.017439669827305503,0.5863912942653734,0.00938722820105297,0.017412654970174093,0.5898152440711238,-0.00010122389148226052,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,wind,风速,lag3-14,0.168761069775751,0.22533831356547054,0.4539035525958729,-0.00993689899985288,0.02411912029294107,0.6803448495578586,-0.009862476627393174,0.024141244418614035,0.6828829670487822,7.442237245970651e-05,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
甘蓝,per-crop HAC,volume_z,成交量异常,同日,,,,,,,-0.0033405493604851504,0.013074196876923112,0.7983315059396059,,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,0.8096429503926691
甘蓝,per-crop HAC,price_lag1,价格滞后(上一交易日),t-1,,,,0.9557370487016986,0.012594061435217753,0.0,0.9552282744082312,0.012798187847342962,0.0,,0.06378966320433643,0.9184820658923789,0.9184877344448332,1409,
芸豆,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.008186247829743015,0.06490338332951172,0.8996292145692377,-0.008831731154311032,0.013423694525475377,0.5105888657339555,-0.008764436182531251,0.01342757412043467,0.5139372864650991,6.729497177978064e-05,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,precip_3d,3日累计降水,lag3-14,-0.06028746682360096,0.13128324963976315,0.6460785255928284,0.014728925178981788,0.019410823079232857,0.447972432933061,0.015137572862494723,0.019688301161245873,0.4419756525325299,0.0004086476835129353,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,temp_max,日最高气温,lag0-2,-0.23057721199598058,0.21986511299049416,0.2943064396913305,-0.028139804156799727,0.047658323128884766,0.554889739323739,-0.029912375706476625,0.047254751451777766,0.5267320117908216,-0.0017725715496768983,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,temp_max,日最高气温,lag3-14,0.3496448665533017,0.34874091337746194,0.31605773414330973,0.10825235281833372,0.06044717473369943,0.0733159618826311,0.10888376252007959,0.05975493967638766,0.06842893081873709,0.0006314097017458692,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.05756370215020538,0.15781007909371236,0.7152863195418919,-0.025021424190318053,0.030294751840777102,0.40884230710623737,-0.024929183129188216,0.030363161600738306,0.4116269936899897,9.224106112983715e-05,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
芸豆,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,-0.27165868710665486,0.3228336202355644,0.40007795317120165,-0.003389472282636412,0.03951978368997562,0.9316520624946741,-0.004008431429680617,0.039024670570715285,0.9181889163072201,-0.0006189591470442055,0.07828063389119655,0.9369796615106649,0.9369862269084712,1409,
