cluster,crop,response,shock_magnitude,trough_offset,price_shock,recovery_offset,recovery_days,recovery_slope_z_per_day,censored
5,芸豆,price,-0.16544112968293823,3,1.4126127226773968,6.0,3.0,0.07211536422076797,False
5,芸豆,volume,-1.4405790294993948,17,0.20817616033228248,20.0,3.0,0.22483025315886507,False
5,芹菜,price,-0.25094689872782416,0,1.731647151854895,1.0,1.0,0.040878227847066406,False
5,芹菜,volume,-0.7494341771962169,6,0.3747170885981085,8.0,2.0,0.28103781644858133,False
5,茄子,price,-0.4061179619443189,1,1.304601617957214,2.0,1.0,0.0753620960309046,False
5,茄子,volume,-0.6102535442883481,15,0.0642372151882471,17.0,2.0,0.24088955695592687,False
5,西红柿,price,-0.11415799675895877,1,0.466217773023228,3.0,2.0,0.03921457903933698,False
5,西红柿,volume,-0.2224127235550063,6,0.6478979338341487,8.0,2.0,0.21757766434728876,False
5,青椒,price,0.18652583965772507,0,0.8909939662221685,1.0,1.0,0.0,False
5,青椒,volume,-0.48713221517754096,6,0.749434177196217,8.0,2.0,0.5620756328971627,False
5,韭菜,price,-0.35427797467457556,0,2.392738936648285,3.0,3.0,0.02725215189804427,False
5,韭菜,volume,-0.7306983227663117,1,1.9672647151400693,8.0,7.0,0.12044477847796345,False
5,黄瓜,price,-0.36278342335613034,0,2.95382082069439,1.0,1.0,0.25776716922672416,False
5,黄瓜,volume,-1.5738117721120557,14,0.7869058860560276,15.0,1.0,1.6862268986914881,False
6,土豆,price,-0.9682206063454362,17,-0.22845654756465353,21.0,4.0,0.03263664965209334,False
6,土豆,volume,-0.24904274196058895,2,0.3528105511108344,3.0,1.0,0.08301424732019635,False
6,尖椒,price,0.2587520106530099,0,1.8365081731713608,1.0,1.0,0.18933073950220236,False
6,尖椒,volume,-0.2697963037906381,2,0.8543549620036872,3.0,1.0,1.1241512657943253,False
6,甘蓝,price,0.049617711041957335,14,1.1350051400847532,15.0,1.0,0.09303320820366823,False
6,甘蓝,volume,-0.31701065695399977,21,0.6272764063132336,,,,True
6,芸豆,price,-0.08781106113940607,21,2.39380588410467,,,,True
6,芸豆,volume,-1.1841059999700227,0,1.6637438733756014,3.0,3.0,0.24981139239873898,False
6,芹菜,price,0.7552252594745517,0,3.3101144999161995,1.0,1.0,0.7766863290942609,False
