crop,lead_k,direction,effect,se,t,p_value,n,r2,fdr_p,fdr_p_within,ci_low,ci_high
芹菜,-11,价格领先成交量,-0.1676861656202158,0.06471277107673835,-2.591237600092391,0.009563144003655225,1399,0.04580683469878244,0.05472861048817796,0.033581237112515296,-0.29452319693062295,-0.04084913430980863
芹菜,-10,价格领先成交量,-0.1650221682093044,0.06558374032323395,-2.516205501485297,0.011862599252933911,1400,0.04457507167936825,0.05566927551725719,0.033581237112515296,-0.29356629924284294,-0.036478037175765865
芹菜,-9,价格领先成交量,-0.16157580066797073,0.06615207074105493,-2.4424904444857303,0.014586315751910852,1401,0.042995427735402325,0.05967551449493298,0.033581237112515296,-0.2912338593204384,-0.03191774201550307
芹菜,-8,价格领先成交量,-0.16406586299949913,0.06771949613386727,-2.4227271667109758,0.0154044911295562,1402,0.04421009250483121,0.06119592366536025,0.033581237112515296,-0.29679607542187897,-0.03133565057711929
芹菜,-7,价格领先成交量,-0.164203028175479,0.06932214320340194,-2.3686952045565266,0.017850957612131842,1403,0.04430565546421161,0.0654515529189517,0.033581237112515296,-0.3000744288541468,-0.0283316274968112
芹菜,-6,价格领先成交量,-0.16827220989465322,0.07140507307789153,-2.3565862009705545,0.018443786408010653,1404,0.046343514303940014,0.0654515529189517,0.033581237112515296,-0.3082261531273206,-0.028318266661985836
芹菜,-5,价格领先成交量,-0.16987382122908742,0.0717494270658101,-2.367598295569323,0.017903963386349434,1405,0.04717044719228469,0.0654515529189517,0.033581237112515296,-0.3105026982780752,-0.029244944180099625
芹菜,-4,价格领先成交量,-0.17228017467338627,0.0718618034872505,-2.3973817287225705,0.016512710851766563,1406,0.048353206517174785,0.0638491486268307,0.033581237112515296,-0.31312930950839724,-0.03143103983837528
芹菜,-3,价格领先成交量,-0.17700646700275768,0.07235780506419744,-2.4462663958050364,0.014434430349121594,1407,0.05072706054280818,0.05967551449493298,0.033581237112515296,-0.31882776492858467,-0.0351851690769307
芹菜,-2,价格领先成交量,-0.1824840540950616,0.07309305909518977,-2.496598943237701,0.012539068232575846,1408,0.05356824852153641,0.05594353519149224,0.033581237112515296,-0.3257464499216336,-0.03922165826848964
芹菜,-1,价格领先成交量,-0.1871152402649865,0.07410926518048092,-2.524856235037524,0.011574562867646312,1409,0.05594293957441254,0.05566927551725719,0.033581237112515296,-0.33236940001872906,-0.0418610805112439
芹菜,0,同日,-0.18297910152625715,0.07511952607143096,-2.4358394028240116,0.014857279155604258,1410,0.05318651073315517,0.05984181882118381,0.033581237112515296,-0.3302133726262618,-0.035744830426252455
芹菜,1,成交量领先价格,-0.177483814610962,0.07536780565192742,-2.3549022434146334,0.01852757909656016,1409,0.05044839733166895,0.0654515529189517,0.033581237112515296,-0.3252047136887397,-0.029762915533184248
芹菜,2,成交量领先价格,-0.172509563481861,0.07549530652292434,-2.285036930467698,0.022310662391002524,1408,0.04857201709935133,0.07032708797163839,0.038059365255239605,-0.3204803642667927,-0.024538762696929284
芹菜,3,成交量领先价格,-0.16760965024189936,0.07630062303905216,-2.196700938550835,0.028041811799123434,1407,0.0462576261821841,0.08383634455408037,0.04517847456525442,-0.31715887139844157,-0.018060429085357127
芹菜,4,成交量领先价格,-0.15796740655093766,0.07742188576873095,-2.0403456333110572,0.041315912727987666,1406,0.04166107998857915,0.11981614691116423,0.06306112995324432,-0.3097143026576503,-0.0062205104442250025
