method,crop,response,hazard_key,hazard_label,window,lag_a,lag_b,effect,se,t,p_value,n,r2,p_joint_windows,fdr_p_within,fdr_p_joint,ci_low,ci_high
hist,芸豆,volume,temp_max,日最高气温,lag3-6,3,6,-0.03686875675253998,0.14351690196206365,-0.256894876133026,0.7972599261316728,1400,0.0328970429774843,,0.7972599261316728,,-0.31816188459818473,0.24442437109310478
hist,芸豆,volume,temp_max,日最高气温,lag7-13,7,13,-0.11482556246415249,0.18509063383944455,-0.6203747865694654,0.5350110681548266,1400,0.0328970429774843,,0.7972599261316728,,-0.4776032047894638,0.2479520798611588
hist,芸豆,volume,temp_max,日最高气温,lag14-30,14,30,-0.12667076264248994,0.25323724286494487,-0.5002058986641444,0.6169301053545717,1400,0.0328970429774843,,0.7972599261316728,,-0.6230157586577818,0.369674233372802
hist,芸豆,volume,temp_min,日最低气温,lag0-2,0,2,0.3280514396423983,0.2761582008122196,1.1879112721532568,0.23486836824890067,1400,0.03257233689328631,,0.46973673649780134,,-0.21321863394955204,0.8693215132343486
hist,芸豆,volume,temp_min,日最低气温,lag3-6,3,6,0.04583800725891489,0.17868251037929034,0.2565332620501822,0.7975391001082126,1400,0.03257233689328631,,0.995532332779065,,-0.30437971308449413,0.39605572760232394
hist,芸豆,volume,temp_min,日最低气温,lag7-13,7,13,-0.3484824734826735,0.25689017112324963,-1.3565426499540154,0.17492657488836694,1400,0.03257233689328631,,0.46973673649780134,,-0.8519872088842428,0.15502226191889573
hist,芸豆,volume,temp_min,日最低气温,lag14-30,14,30,0.00149216008546052,0.2664847702744682,0.005599419748917198,0.995532332779065,1400,0.03257233689328631,,0.995532332779065,,-0.5208179896524971,0.5238023098234181
hist,芸豆,volume,vpd,饱和水汽压差VPD,lag0-2,0,2,0.08886793897112276,0.10882122467900227,0.8166415994054732,0.41413327474303874,1400,0.026408708998366115,,0.926433802081739,,-0.12442166139972168,0.3021575393419672
hist,芸豆,volume,vpd,饱和水汽压差VPD,lag3-6,3,6,-0.007762369629854368,0.08406966907387144,-0.09233258219481782,0.926433802081739,1400,0.026408708998366115,,0.926433802081739,,-0.17253892101464235,0.15701418175493365
hist,芸豆,volume,vpd,饱和水汽压差VPD,lag7-13,7,13,0.012149287245309684,0.0993963542721989,0.12223071292975816,0.9027163034148468,1400,0.026408708998366115,,0.926433802081739,,-0.18266756712820015,0.2069661416188195
hist,芸豆,volume,vpd,饱和水汽压差VPD,lag14-30,14,30,-0.10319722467758936,0.15824154487049882,-0.6521500075220041,0.5143044066409082,1400,0.026408708998366115,,0.926433802081739,,-0.413350652623767,0.20695620326858832
hist,芸豆,volume,soil_z,土壤水分异常,lag0-2,0,2,0.05887005749262851,0.06731039686022677,0.8746057108365439,0.38178847938706695,1400,0.055072509612202,,0.7479696132775523,,-0.07305832035341596,0.19079843533867297
hist,芸豆,volume,soil_z,土壤水分异常,lag3-6,3,6,0.01661583047279834,0.05260972256525924,0.3158319349087498,0.7521300772807109,1400,0.055072509612202,,0.7521300772807109,,-0.08649922575510977,0.11973088670070645
hist,芸豆,volume,soil_z,土壤水分异常,lag7-13,7,13,0.037687551236961096,0.06482311406904157,0.5813906316938272,0.5609772099581642,1400,0.055072509612202,,0.7479696132775523,,-0.08936575233836036,0.16474085481228257
hist,芸豆,volume,soil_z,土壤水分异常,lag14-30,14,30,0.19203575881121393,0.10952284757601197,1.7533853717411398,0.07953588023588144,1400,0.055072509612202,,0.31814352094352577,,-0.022629022437769514,0.4067005400601974
hist,芹菜,price,precip_1d,当日降水,lag0-2,0,2,-0.012719149542826075,0.054419432788753726,-0.23372440488675222,0.8151989400764783,1400,0.019752203325912765,,0.9121842533637642,,-0.11938123780878337,0.09394293872313123
hist,芹菜,price,precip_1d,当日降水,lag3-6,3,6,-0.06102921328919972,0.07594333147149285,-0.8036151707685947,0.42161925882425444,1400,0.019752203325912765,,0.8432385176485089,,-0.2098781429733257,0.08781971639492625
hist,芹菜,price,precip_1d,当日降水,lag7-13,7,13,-0.009652541406048598,0.08752451175487108,-0.11028386462848673,0.9121842533637642,1400,0.019752203325912765,,0.9121842533637642,,-0.18120058444559592,0.16189550163349872
hist,芹菜,price,precip_1d,当日降水,lag14-30,14,30,0.409351221826607,0.36033773169497274,1.1360209764908116,0.2559477854033305,1400,0.019752203325912765,,0.8432385176485089,,-0.29691073229553955,1.1156131759487535
hist,芹菜,price,precip_3d,3日累计降水,lag0-2,0,2,-0.011964163515302668,0.05123706744937731,-0.2335060164620735,0.8153684982126127,1400,0.02038862177457479,,0.8899600704145962,,-0.1123888157160822,0.08846048868547685
hist,芹菜,price,precip_3d,3日累计降水,lag3-6,3,6,-0.03545455537276099,0.05025368999689409,-0.7055114833349002,0.4804919882069616,1400,0.02038862177457479,,0.8899600704145962,,-0.1339517877666734,0.06304267702115143
hist,芹菜,price,precip_3d,3日累计降水,lag7-13,7,13,-0.00866007460653679,0.06259326584210352,-0.1383547333731158,0.8899600704145962,1400,0.02038862177457479,,0.8899600704145962,,-0.13134287565705968,0.11402272644398612
hist,芹菜,price,precip_3d,3日累计降水,lag14-30,14,30,0.28052938915116254,0.2511205982610552,1.1171102294823905,0.26394719720346915,1400,0.02038862177457479,,0.8899600704145962,,-0.21166698344050566,0.7727257617428307
hist,芹菜,price,precip_7d,7日累计降水,lag0-2,0,2,-0.058903703603352314,0.07423483003871587,-0.7934779883328638,0.42749938881751104,1400,0.02522262903161232,,0.6322662997367248,,-0.20440397047923542,0.08659656327253079
