scope,response,crop,hazard,hazard_label,window_days,beta_hazard,p_hazard,beta_interaction,p_interaction,n,r2,slope_in_window,slope_out_window,fdr_p_interaction,sig_fdr05
all,volume,青椒,vpd,饱和水汽压差VPD,1068,-0.04690615675744815,0.8015969567982898,-0.005420667564529691,0.979952550494808,1410,0.020966124746433223,-0.0506685292055438,-0.012405543279691402,0.9950342515612569,False
all,volume,青椒,wind,风速,1068,0.17179943211592397,0.1953606360980653,-0.38699937040021676,0.019619411725475686,1410,0.03561086744772801,-0.2248402596578006,0.16813056354101552,0.5611230665545244,False
all,volume,黄瓜,precip_3d,3日累计降水,734,-0.3077369445065753,0.5064006303467019,0.29185619210774066,0.53328998497632,1410,0.01639661363108158,-0.012901613469704193,-0.31007906193375995,0.9950342515612569,False
all,volume,黄瓜,soil_z,土壤水分异常,734,-0.13824081906927485,0.5946185079814255,0.0442710644150245,0.8727395381599302,1410,0.01700826205171191,-0.08344428972583667,-0.13621692554923664,0.9950342515612569,False
all,volume,黄瓜,temp_max,日最高气温,734,0.25392975431295917,0.09641407172895032,-0.22159058740441598,0.3780049340829259,1410,0.021133997022831474,0.049978311506843565,0.2456859573589414,0.9735980763328868,False
all,volume,黄瓜,vpd,饱和水汽压差VPD,734,0.13682219068838103,0.4006173625468239,-0.0024610911034401856,0.9902809433195942,1410,0.018417607934905655,0.14270344015569697,0.1264255986482978,0.9950342515612569,False
all,volume,黄瓜,wind,风速,734,-0.057047701431019796,0.5505423576195079,0.05356180126147078,0.698775448383969,1410,0.013835316206519566,-0.015752216283786927,-0.054079179652370656,0.9950342515612569,False
open_field,price,土豆,precip_3d,3日累计降水,211,-0.038859076037843554,0.425631084887407,0.0061562384763986094,0.9722911551840706,1410,0.0016786018525898339,-0.03354341720779538,-0.03830844998531312,0.98497734615886,False
open_field,price,土豆,soil_z,土壤水分异常,211,0.06548261128219983,0.3802694480952945,-0.17882533644701554,0.3960911381951745,1410,0.00520107565944572,-0.11239725545861422,0.06597112859920637,0.957445967672315,False
open_field,price,土豆,temp_max,日最高气温,211,0.014512453134479008,0.882898667768294,-0.10629946387487231,0.8375157794700818,1410,0.0006847291754511486,-0.08972062522999613,0.015711903736744803,0.98497734615886,False
open_field,price,土豆,vpd,饱和水汽压差VPD,211,0.045037991671064155,0.6813623820871294,0.04514815986461406,0.8875323524019729,1410,0.002288738808064017,0.09187562422228776,0.04525800454756911,0.98497734615886,False
open_field,price,土豆,wind,风速,211,0.2432332592719948,0.0004455724468400387,0.10841794296743851,0.5744675806033891,1410,0.05817023596120352,0.3519626358592403,0.24202110283931785,0.957445967672315,False
open_field,price,尖椒,precip_3d,3日累计降水,471,-0.016478996553236994,0.9000442998180757,0.054478167842819974,0.7053455773360111,1410,0.012110811717829018,0.033869697013886986,-0.018616377110834612,0.9769806654104609,False
open_field,price,尖椒,soil_z,土壤水分异常,471,-0.07022812623932255,0.5937790696444127,0.371790351433957,0.032838428807848444,1410,0.030525937586669216,0.29834351118501756,-0.07398519134264478,0.49257643211772667,False
open_field,price,尖椒,temp_max,日最高气温,471,-0.0120430878683556,0.9383855764744048,-0.06611808501758026,0.8525643002060013,1410,0.011778329436532009,-0.11478272782505074,-0.017088034916307327,0.98497734615886,False
open_field,price,尖椒,vpd,饱和水汽压差VPD,471,-0.01861189388154103,0.8714053683382779,-0.19573119895336383,0.253453790432284,1410,0.015467349484424076,-0.22757334742291235,-0.018164852382794604,0.957445967672315,False
open_field,price,尖椒,wind,风速,471,0.1211874337787547,0.2399423685530896,-0.07704472208606343,0.5730189060405972,1410,0.017002534621590293,0.04540845427269065,0.12499437812550498,0.957445967672315,False
open_field,price,甘蓝,precip_3d,3日累计降水,203,0.025549852033194063,0.6303926817734309,-0.1607901558761583,0.74901851014802,1410,0.0019884583914522302,-0.14130917420535677,0.024879390677296255,0.9769806654104609,False
open_field,price,甘蓝,soil_z,土壤水分异常,203,0.04361525563220325,0.5903183093536164,-0.16238046746049456,0.7403770382365196,1410,0.0028432818646442204,-0.12189624424456359,0.04258755199946765,0.9769806654104609,False
open_field,price,甘蓝,temp_max,日最高气温,203,0.010311781128252243,0.9432896589484938,0.05195863936890399,0.9422125918655401,1410,0.001312309511016907,0.08664494348444475,0.007411509468052676,0.98497734615886,False
open_field,price,甘蓝,vpd,饱和水汽压差VPD,203,-0.030007667693850923,0.7947045136927251,0.21293331513904024,0.836856086068176,1410,0.001981520199280884,0.2177714836170765,-0.03094314689468325,0.98497734615886,False
open_field,price,甘蓝,wind,风速,203,0.15032686809733886,0.027534771761404696,-0.04499640645403464,0.8639472715608028,1410,0.011653289407526302,0.10186059597022311,0.15193547864487406,0.98497734615886,False
open_field,price,芸豆,precip_3d,3日累计降水,374,0.04812131290458284,0.7350251046368447,-0.09220827544304712,0.5426476815524974,1410,0.014983406815711864,-0.04340244173650463,0.042179612664604585,0.957445967672315,False
open_field,price,芸豆,soil_z,土壤水分异常,374,0.050939025605650445,0.6799779300154749,-0.05716127060973397,0.6888599336694186,1410,0.01479843037396511,-0.006920086737123957,0.04447988365491313,0.9769806654104609,False
open_field,price,芸豆,temp_max,日最高气温,374,-0.03533249207272129,0.7027982093602629,-0.6739495700235049,0.19581418172954068,1410,0.021413409518178383,-0.7476063679986596,-0.03662178991588056,0.957445967672315,False
open_field,price,芸豆,vpd,饱和水汽压差VPD,374,-0.030475837491364073,0.7024563716249572,-0.17876853303379636,0.19427527802448608,1410,0.01801536033106388,-0.21852016469318705,-0.028358610999752534,0.957445967672315,False
open_field,price,芸豆,wind,风速,374,0.19062806705937496,0.011884449472105143,-0.277039464706884,0.012320255657126931,1410,0.03507294439120823,-0.08136813719030224,0.19193051849809556,0.49257643211772667,False
open_field,price,芹菜,precip_3d,3日累计降水,203,0.03498740813726747,0.49597979401647097,-0.23052510323190556,0.5566188327185897,1410,0.007875421393668258,-0.2114482528432225,0.03322968166030917,0.957445967672315,False
open_field,price,芹菜,soil_z,土壤水分异常,203,0.10219440147797104,0.14963750491812888,-0.3728600749309005,0.38796680255562466,1410,0.016937950131551194,-0.2788166492723063,0.09951899402566275,0.957445967672315,False
open_field,price,芹菜,temp_max,日最高气温,203,0.03982454811756381,0.6781145599144205,0.3506326806322062,0.559891760894047,1410,0.01091982892252008,0.44951266807137,0.032797669391183136,0.957445967672315,False
open_field,price,芹菜,vpd,饱和水汽压差VPD,203,-0.03739757767438719,0.6260840326351897,0.7003092979135928,0.43015578333845617,1410,0.013173815524254229,0.7484739539086495,-0.039694600755701547,0.957445967672315,False
open_field,price,芹菜,wind,风速,203,0.02716677304155518,0.6687699265513076,-0.060353186476390756,0.8015369848293499,1410,0.006336914515048142,-0.04356999029194602,0.03198054188081412,0.98497734615886,False
open_field,price,黄瓜,precip_3d,3日累计降水,497,-0.027700467234808755,0.9141263034016219,0.1616315191248643,0.5435094347340569,1410,0.011036167352538429,0.1338232780903259,-0.02666429626909037,0.957445967672315,False
open_field,price,黄瓜,soil_z,土壤水分异常,497,-0.003509268735978264,0.9846393724866563,0.17999441428179247,0.38631371810473736,1410,0.011849516160227336,0.17421397535373878,-0.006545728991147147,0.957445967672315,False
open_field,price,黄瓜,temp_max,日最高气温,497,-0.14919226873661065,0.2082955461098136,0.4926238163172351,0.32226670870291385,1410,0.010406347140507588,0.3296161269236019,-0.1476844511748811,0.957445967672315,False
open_field,price,黄瓜,vpd,饱和水汽压差VPD,497,-0.10579741657901867,0.25934571176568444,0.08202093329723083,0.5558712269226573,1410,0.006310096272814314,-0.023323341411940025,-0.10262447239983608,0.957445967672315,False
