crop,response,metric,hazard_key,hazard_label,peak_lag,peak_effect,peak_se,peak_p,peak_fdr_p,peak_ci_low,peak_ci_high,sum_effect_0_14,n_lag_sig_within,n_lag_focus,corr_max_abs
尖椒,volume,pct,precip_1d,当日降水,5,0.578797165035853,0.3268757648213677,0.07661149412321228,0.9499825271278323,-0.061879334014027676,1.2194736640857338,1.7555981060963872,0,15,0.06407350695389369
尖椒,volume,pct,precip_3d,3日累计降水,11,0.6107317099068433,0.4419699774872759,0.1670208923312989,0.9993687142937572,-0.25552944596821736,1.476992865781904,2.9758424520873734,0,15,0.07040339447509358
尖椒,volume,pct,precip_7d,7日累计降水,12,0.4568334023154,0.46297271360322717,0.32377042580197524,0.9993687142937572,-0.4505931163469253,1.3642599209777253,4.818428444189138,0,15,0.05785136209066676
尖椒,volume,pct,soil_z,土壤水分异常,3,1.6109278601877257,0.5172902773996368,0.0018446559486347085,0.2899655350248582,0.5970389164844374,2.6248168038910142,22.49764183429311,15,15,0.18734910915802175
尖椒,volume,pct,temp_max,日最高气温,1,0.6191972024326082,0.5724656712749691,0.27941606909862116,0.9993687142937572,-0.5028355132663311,1.7412299181315476,7.3510928614590325,0,15,0.07711455318062675
尖椒,volume,pct,temp_min,日最低气温,0,0.5362592068861487,0.5774130225858788,0.35303045642262876,0.9993687142937572,-0.5954703173821736,1.667988731154471,6.802736284749041,0,15,0.06875342938525254
尖椒,volume,pct,vpd,饱和水汽压差VPD,11,-0.20599101623297636,0.4669777980769231,0.6591295822477172,0.9993687142937572,-1.1212675004637456,0.7092854679977929,-0.9452346670771294,0,15,0.022426462494954634
尖椒,volume,z,precip_1d,当日降水,5,0.15440532897389503,0.08524113839984879,0.07007980728373638,0.9011744107004915,-0.012667302289808585,0.32147796023759867,0.6390435136170416,0,15,0.06779923468715232
尖椒,volume,z,precip_3d,3日累计降水,11,0.1683003216350751,0.11572233411073071,0.14585038419311708,0.9993687142937572,-0.05851545322195709,0.3951160964921073,1.0303907523539917,0,15,0.07687972316176318
尖椒,volume,z,precip_7d,7日累计降水,10,0.12798370466400416,0.12151311820966428,0.2922263794209271,0.9993687142937572,-0.11018200702693781,0.36614941635494613,1.5040537854658949,0,15,0.06503393218384189
尖椒,volume,z,soil_z,土壤水分异常,3,0.4319782969034734,0.1366792893574215,0.0015748514535828663,0.2899655350248582,0.1640868897629273,0.6998697040440195,6.075610863690662,15,15,0.20227323550186885
尖椒,volume,z,temp_max,日最高气温,1,0.1505983144283581,0.13410834426275065,0.2614544572837594,0.9993687142937572,-0.11225404032663314,0.4134506691833494,2.0261894752107796,0,15,0.0743648821260137
尖椒,volume,z,temp_min,日最低气温,14,0.15105834433285487,0.12930054102292654,0.2426966209950714,0.9993687142937572,-0.10237071607208115,0.4044874047377909,1.9208314153007962,0,15,0.07380511234230135
尖椒,volume,z,vpd,饱和水汽压差VPD,11,-0.05524138041805255,0.11095833389242793,0.6185848549023237,0.9993687142937572,-0.2727197148472113,0.1622369540111062,-0.3735036189737085,0,15,0.024698650733699506
甘蓝,price,pct,precip_1d,当日降水,6,-1.8369155923068763,1.9529354193362773,0.3469139410615133,0.9993687142937572,-5.66466901420598,1.9908378295922273,-3.2897129482365175,0,15,0.02900425456116032
甘蓝,price,pct,precip_3d,3日累计降水,14,1.8360971962928314,2.5595357113331856,0.4731547275667065,0.9993687142937572,-3.1805927979202124,6.852787190505875,-1.066145899685731,0,15,0.03637575469669803
甘蓝,price,pct,precip_7d,7日累计降水,14,2.1670670889279022,3.5560685715219904,0.542259542617725,0.9993687142937572,-4.802827311255198,9.136961489111004,2.9796048842047504,0,15,0.04070087764269705
甘蓝,price,pct,soil_z,土壤水分异常,13,4.175344272526953,4.348856245356125,0.33700403316947436,0.9993687142937572,-4.348413968371052,12.699102513424958,40.77182771041481,0,15,0.0779923896916934
甘蓝,price,pct,temp_max,日最高气温,0,-4.621155366512486,5.101698303794727,0.3650378771871149,0.9993687142937572,-14.620484041950151,5.378173308925179,-51.20415075396988,0,15,0.0879523242098308
甘蓝,price,pct,temp_min,日最低气温,0,-5.045923011988289,4.979094887418189,0.3108587588865275,0.9993687142937572,-14.804948991327937,4.71310296735136,-56.99263244722617,0,15,0.09598973942711027
