target,feature_set,feature,is_weather,mean_abs_shap,share_of_total,causal_claim_allowed,rank
price,F_wx,is_public_holiday,False,0.017091909639268134,0.01019483857252626,False,31
price,F_wx,vpd_lag14d,True,0.014715427126547888,0.008777334262068654,False,32
price,F_wx,crop_甘蓝,False,0.014709443310142428,0.008773765085564168,False,33
price,F_wx,precipitation_lag14d,True,0.012264229221227881,0.00731526434235417,False,34
price,F_wx,m5,False,0.012093398763232396,0.007213368826914897,False,35
price,F_wx,crop_尖椒,False,0.011834615179748594,0.007059011770593004,False,36
price,F_wx,precip_3d_lag1d,True,0.011051167599355486,0.006591707544165673,False,37
price,F_wx,m10,False,0.010261433446271694,0.006120653555710071,False,38
price,F_wx,precip_3d_lag14d,True,0.008629261122615273,0.005147109129521846,False,39
price,F_wx,vpd_lag3d,True,0.008283094584120604,0.004940630622810383,False,40
price,F_wx,precip_3d_lag7d,True,0.008234257824685376,0.004911500883105722,False,41
price,F_wx,precipitation_lag3d,True,0.007921556241413368,0.004724983271550645,False,42
price,F_wx,precip_3d_lag3d,True,0.0075024022550666935,0.004474969825538875,False,43
price,F_wx,precipitation_lag7d,True,0.00722640151035684,0.0043103432216309405,False,44
price,F_wx,precipitation_lag1d,True,0.006664908076385761,0.003975428338526417,False,45
price,F_wx,m6,False,0.004426009205887808,0.002639988762336651,False,46
price,F_wx,m7,False,0.0031001426901539134,0.0018491470493913619,False,47
price,F_now,price_anomaly_z_hist_lag1,False,0.5257998683513567,0.5935834054223228,False,1
price,F_now,price_anomaly_z_hist_lag2,False,0.04038416821099013,0.04559029686901515,False,2
price,F_now,log_price_lag1,False,0.03723618633188625,0.042036492624321825,False,3
price,F_now,soil_moisture_0_7_z,True,0.022567082468631105,0.0254763199241145,False,4
price,F_now,log_volume_lag1,False,0.013151560120139414,0.014846994669675677,False,5
price,F_now,temp_anomaly_lag1d,True,0.01300426016988947,0.014680705533160579,False,6
price,F_now,wind_speed,True,0.011651648246787596,0.013153721522976057,False,7
price,F_now,precip_7d_lag1d,True,0.009183115946242056,0.010366958160050156,False,8
price,F_now,temp_max_lag3d,True,0.009168344713336784,0.010350282692333344,False,9
price,F_now,crop_甘蓝,False,0.008459133198110386,0.009549643111169546,False,10
price,F_now,year_t,False,0.007519621497915769,0.008489014176087769,False,11
price,F_now,temp_z,True,0.007336121617027911,0.00828185839163782,False,12
price,F_now,precip_deficit_14d,True,0.007322244041291668,0.008266191786983935,False,13
price,F_now,precip_3d,True,0.0072505478524001075,0.008185252877486879,False,14
price,F_now,temp_max,True,0.007027052545904081,0.00793294565355816,False,15
price,F_now,vpd_lag14d,True,0.006590936590938222,0.007440607771239298,False,16
price,F_now,crop_芸豆,False,0.006498848648937807,0.007336648303956942,False,17
price,F_now,precip_7d_lag14d,True,0.006459030090790289,0.007291696532823336,False,18
price,F_now,precip_14d,True,0.006074648983443995,0.0068577629006335485,False,19
price,F_now,precip_7d,True,0.005901278161816218,0.006662041964024423,False,20
price,F_now,m11,False,0.005802057197306184,0.006550029919997442,False,21
price,F_now,soil_moisture_0_7_lag14d,True,0.005691758447215014,0.006425511996670021,False,22
price,F_now,vpd,True,0.005622514673576656,0.0063473416557579465,False,23
