crop,model,hazard_key,hazard_label,window,effect,se,t,p_value,n,r2,fdr_p,ci_low,ci_high
茄子,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.05514387996731926,0.12647241607513998,-0.4360150748963086,0.662825792169384,1409,0.2301233187250663,0.8083241367919317,-0.3030298154745936,0.1927420555399551
茄子,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.17603970981880315,0.3214860001980967,0.5475812623577049,0.5839794583465217,1409,0.2301233187250663,0.7941046257113443,-0.45407285056946645,0.8061522702070727
茄子,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.1291414058577714,0.0846639097078341,1.5253418641239729,0.12717385100734918,1409,0.2301233187250663,0.39947915650187327,-0.03679985716958345,0.29508266888512624
茄子,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.04434222758500666,0.1337870112453873,0.3314389578796685,0.7403129420824652,1409,0.2301233187250663,0.8198938618510772,-0.21788031445595246,0.3065647696259658
茄子,per-crop HAC,wind,风速,lag0-2,0.04616695038040589,0.09261900402255605,0.4984608814100677,0.6181592347107451,1409,0.2301233187250663,0.7941046257113443,-0.13536629750380397,0.22770019826461574
茄子,per-crop HAC,wind,风速,lag3-14,0.449541050620537,0.1483429008260133,3.030418362573275,0.002442151982936494,1409,0.2301233187250663,0.20831692391338075,0.15878896500155093,0.7402931362395231
西红柿,per-crop HAC,precip_3d,3日累计降水,lag0-2,0.022455751904633385,0.050388100761023825,0.44565585059723756,0.6558458603624202,1409,0.4712724777756201,0.8083241367919317,-0.0763049255869733,0.12121642939624008
西红柿,per-crop HAC,precip_3d,3日累计降水,lag3-14,0.039674816842145605,0.0980215615175577,0.4047560172262612,0.6856568616562464,1409,0.4712724777756201,0.8167210334184748,-0.15244744373226748,0.2317970774165587
西红柿,per-crop HAC,temp_max,日最高气温,lag0-2,0.27061813626080317,0.1841480653660262,1.4695681745170805,0.14167874504747394,1409,0.4712724777756201,0.39947915650187327,-0.09031207185660822,0.6315483443782146
西红柿,per-crop HAC,temp_max,日最高气温,lag3-14,-0.3867395316661617,0.24812643756150835,-1.5586389562792655,0.11908185727262355,1409,0.4712724777756201,0.39947915650187327,-0.873067349286718,0.09958828595439462
西红柿,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,0.03507494776369515,0.08677038421019659,0.40422718054040163,0.6860456680715188,1409,0.4712724777756201,0.8167210334184748,-0.13499500528829014,0.20514490081568046
西红柿,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.19266016642366712,0.2012041696214207,0.9575356553801558,0.3382969586951985,1409,0.4712724777756201,0.6382961484815066,-0.20170000603431748,0.5870203388816517
西红柿,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.031174197224300964,0.05781217106327669,0.539232425472832,0.5897264891279766,1409,0.4712724777756201,0.7941046257113443,-0.08213765805972134,0.14448605250832328
西红柿,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.08420357049235078,0.092151497197149,0.913751518461014,0.36084742657306546,1409,0.4712724777756201,0.6443704045947598,-0.09641336401406128,0.26482050499876286
西红柿,per-crop HAC,wind,风速,lag0-2,-0.01087316291725287,0.05135692230255545,-0.21171757242765762,0.8323273780462732,1409,0.4712724777756201,0.8754509839451966,-0.11153273063026156,0.08978640479575581
西红柿,per-crop HAC,wind,风速,lag3-14,0.056608231123627256,0.11033223688551218,0.5130706375722953,0.6079019099324359,1409,0.4712724777756201,0.7941046257113443,-0.1596429531719766,0.2728594154192311
青椒,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.02989597975263929,0.09693689706100299,-0.3084066094443436,0.7577729533174711,1409,0.09365453345435959,0.8236662536059469,-0.21989229799220517,0.16010033848692656
青椒,per-crop HAC,precip_3d,3日累计降水,lag3-14,0.0026751403346151614,0.1853049487420669,0.014436421438149459,0.9884818023077502,1409,0.09365453345435959,0.9978299459530939,-0.360522559199836,0.36587283986906627
青椒,per-crop HAC,temp_max,日最高气温,lag0-2,0.6234602707636862,0.3720408934548815,1.6757842531073672,0.09378045964177809,1409,0.09365453345435959,0.39947915650187327,-0.10573988040788163,1.352660421935254
青椒,per-crop HAC,temp_max,日最高气温,lag3-14,-0.5275366388573204,0.47246360821873784,-1.1165656564454065,0.2641800827751444,1409,0.09365453345435959,0.574304527772053,-1.4535653109660465,0.3984920332514058
青椒,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,0.19177978400560305,0.16289862092819532,1.1772953197076994,0.23907765433923456,1409,0.09365453345435959,0.5312836763094101,-0.12750151301365978,0.5110610810248659
青椒,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.6187793572133489,0.34220693792961604,1.808202256088149,0.07057502763050279,1409,0.09365453345435959,0.39947915650187327,-0.05194624112869861,1.2895049555553963
青椒,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.16663717046587678,0.12489723192642223,1.334194264321597,0.18214019879940146,1409,0.09365453345435959,0.43353645842781047,-0.07816140410991079,0.41143574504166436
青椒,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.14925768969910091,0.16877922681263138,0.8843368494915425,0.37651440178576256,1409,0.09365453345435959,0.6500808402717302,-0.18154959485365657,0.4800649742518584
青椒,per-crop HAC,wind,风速,lag0-2,-0.26985317292013083,0.12422019992501965,-2.172377544739233,0.02982719733472675,1409,0.09365453345435959,0.3314133037191861,-0.5133247647731694,-0.02638158106709232
青椒,per-crop HAC,wind,风速,lag3-14,-0.04359649805914652,0.216532026410127,-0.20133972226617258,0.8404329445873887,1409,0.09365453345435959,0.8754509839451966,-0.46799926982299545,0.38080627370470244
韭菜,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.03571264780556973,0.09989954244639757,-0.35748559934327856,0.7207283050006019,1409,0.09982217100751734,0.8198938618510772,-0.23151575100050897,0.1600904553893695
韭菜,per-crop HAC,precip_3d,3日累计降水,lag3-14,0.07568395236033995,0.22827685131193337,0.33154457810932453,0.7402331746607071,1409,0.09982217100751734,0.8198938618510772,-0.3717386762110495,0.5231065809317293
韭菜,per-crop HAC,temp_max,日最高气温,lag0-2,0.49930884588657776,0.37164580100632577,1.343507297901851,0.17910776453786603,1409,0.09982217100751734,0.43353645842781047,-0.22911692408582074,1.2277346158589761
