method,crop,response,metric,hazard_key,hazard_label,hazard_unit,lag_day,effect,se,t,p_value,n,r2,pearson_r,spearman_r,hazard_sd,effect_per_unit,fdr_p,fdr_p_within,ci_low,ci_high
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,2,0.042724854303207146,0.10520984592125808,0.40609178664878565,0.6846751603764314,1409,0.008810304856613604,0.02498257360391902,0.024559360615230796,16.14456317656136,0.00264639271041009,0.9993687142937572,0.7580332132739062,-0.16348644370245868,0.248936152308873
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,3,0.14029489597916264,0.12569644185480147,1.1161405518640266,0.26436197634501957,1409,0.012540205013915506,0.0687201828659814,0.06984945472874067,16.14456317656136,0.008689915883437618,0.9993687142937572,0.558434820953431,-0.10607013005624824,0.38665992201457355
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,4,0.15965649539028412,0.12239201407989954,1.304468241580351,0.19207398093512773,1408,0.01317917135997737,0.07328855443013738,0.06763980567282797,16.14456317656136,0.00988918025494013,0.9993687142937572,0.558434820953431,-0.08023185220631898,0.3995448429868872
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,5,0.0969470579973832,0.10218411520160417,0.948748812925683,0.3427483812513433,1407,0.010182897176536643,0.04484279106705067,0.050979821075921576,16.14456317656136,0.006004935341832643,0.9993687142937572,0.559221043094297,-0.10333380779776098,0.2972279237925274
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,6,0.018532262976083923,0.07498131917919719,0.24715840130518152,0.8047856376477814,1406,0.00846642682714327,0.010478758084907062,0.029484763586894544,16.14456317656136,0.0011478949769907073,0.9993687142937572,0.8316118255693741,-0.12843112261514256,0.16549564856731042
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,7,-0.005016693098407608,0.06127837396761201,-0.08186726855805808,0.9347522629468887,1405,0.008398933613785076,0.000464079821223301,0.014597427076052511,16.14456317656136,-0.0003107357593725937,0.9993687142937572,0.9347522629468888,-0.12512230607492714,0.11508891987811193
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,8,0.03308276587754786,0.07282948111238732,0.4542496441310073,0.6496491552561638,1404,0.008668279105204957,0.021561212917361416,0.031322866372415575,16.14456317656136,0.0020491583151396346,0.9993687142937572,0.7458934745533733,-0.1096630171027313,0.175828548857827
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,9,0.09623733984213745,0.09444571806320687,1.018969857137743,0.3082172770004292,1404,0.010668757094722925,0.05286095185944609,0.04289003552908439,16.14456317656136,0.005960975146224743,0.9993687142937572,0.558434820953431,-0.08887626756174802,0.28135094724602294
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,10,0.15437601700019865,0.1102129969710029,1.4007060985812323,0.1613019782591194,1404,0.0136321583719613,0.07643276880790746,0.05099049338577394,16.14456317656136,0.009562105540540199,0.9993687142937572,0.558434820953431,-0.06164145706296703,0.37039349106336433
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,11,0.1683003216350751,0.11572233411073071,1.4543460683573348,0.14585038419311708,1403,0.013833985778176294,0.07687972316176318,0.04964101500832394,16.14456317656136,0.01042458193476632,0.9993687142937572,0.558434820953431,-0.05851545322195709,0.3951160964921073
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,12,0.11134032797859619,0.10900874995192748,1.0213889071078874,0.30707021882074603,1402,0.0107342421934159,0.051832182521382435,0.03987650579480049,16.14456317656136,0.006896459616834962,0.9993687142937572,0.558434820953431,-0.10231682192718167,0.32499747788437405
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,13,0.06302051993199782,0.08979158702101181,0.701853280722732,0.4827706671308465,1401,0.009196924073228918,0.03253938589509274,0.03630479468616885,16.14456317656136,0.0039035134765052592,0.9993687142937572,0.6506908991763583,-0.11297099062918532,0.23901203049318098
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,14,0.04666967596523223,0.0771638770745816,0.6048124813651387,0.545303599500599,1400,0.008860425201556388,0.02618420152693415,0.029120885241921298,16.14456317656136,0.0028907363708042073,0.9993687142937572,0.6761764633807428,-0.1045715231009477,0.19791087503141214
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,15,0.04153152951835787,0.07655769492362675,0.5424866770060062,0.5874832830809029,1399,0.008735605623237608,0.02357078870528484,0.03231815786170248,16.14456317656136,0.0025724777477196315,0.9993687142937572,0.700460837519538,-0.10852155253195056,0.1915846115686663
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,16,0.10227940427201208,0.09604056183887283,1.064960494958434,0.28689380729896474,1399,0.01086278892833259,0.05191795893191486,0.05164524261948998,16.14456317656136,0.006335222771496295,0.9993687142937572,0.558434820953431,-0.08596009693217867,0.29051890547620285
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,17,0.14274456298375016,0.11318493295120692,1.2611622347763032,0.20725040190081512,1399,0.012742933181660754,0.0677479667388572,0.0687569086642649,16.14456317656136,0.008841649131206374,0.9993687142937572,0.558434820953431,-0.07909790560061541,0.3645870315681157
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,18,0.17755551513405513,0.13064271913722994,1.359092311509124,0.17411733886121283,1398,0.014313456982665396,0.07988588249502496,0.09253785641810573,16.14456317656136,0.010997851920318899,0.9993687142937572,0.558434820953431,-0.07850421437491553,0.4336152446430258
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,19,0.12979207073456617,0.11412213001460922,1.1373085195478825,0.2554093344742777,1397,0.011441249389969377,0.05906747154686482,0.09022267435872983,16.14456317656136,0.008039367142679835,0.9993687142937572,0.558434820953431,-0.0938873040940679,0.3534714455632002
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,20,0.09403046757313867,0.09315405627398202,1.0094081925598493,0.3127789110251241,1396,0.0101432884233853,0.04546766752456578,0.054984022156525376,16.14456317656136,0.005824280690954333,0.9993687142937572,0.558434820953431,-0.08855148272386608,0.2766124178701434
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,21,0.057585351970148795,0.07554233410448548,0.7622924635939936,0.4458854708869848,1395,0.00905284905341075,0.029536407398385388,0.04649324960992111,16.14456317656136,0.0035668572348709366,0.9993687142937572,0.6282931635225695,-0.09047762287464273,0.20564832681494033
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,22,0.05783960036046561,0.0887048452783769,0.6520455582663065,0.5143717830032912,1394,0.009056493173034141,0.030346047746402274,0.04021917265098749,16.14456317656136,0.0035826054708272942,0.9993687142937572,0.6643968863792512,-0.1160218963851531,0.23170109710608433
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,23,0.11305160779985803,0.11468509222032057,0.9857567850464429,0.32425247668263735,1394,0.011349467622699061,0.05927279709656814,0.0707680016248065,16.14456317656136,0.007002456899173717,0.9993687142937572,0.558434820953431,-0.11173117295197028,0.33783438855168635
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,24,0.2138625815789579,0.1491345110977741,1.4340247606320138,0.1515651970387485,1394,0.018189247456778634,0.10365117481877324,0.084725421299686,16.14456317656136,0.01324672456232468,0.9993687142937572,0.558434820953431,-0.0784410601726793,0.5061662233305951
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,25,0.24917667350614137,0.14728029949982188,1.691853386721574,0.09067393150351083,1393,0.020000713582078444,0.11138942056820429,0.08558183518700296,16.14456317656136,0.015434092008627122,0.9962654752537646,0.558434820953431,-0.039492713513509525,0.5378460605257922
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,26,0.2022792184372889,0.14024942995680736,1.442281929413794,0.14922285587490428,1392,0.01587988854940592,0.08752064630124301,0.08520133620977091,16.14456317656136,0.012529246918922987,0.9993687142937572,0.558434820953431,-0.07260966427805354,0.47716810115263136
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,27,0.10870637220042795,0.1011725607444706,1.074464967581332,0.28261433795465785,1391,0.010694011033207995,0.049059330435349095,0.07749388123263745,16.14456317656136,0.006733311456716749,0.9993687142937572,0.558434820953431,-0.08959184685873445,0.30700459125959034
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,28,0.07739634595344552,0.08833018577345174,0.8762162705278442,0.38091247293812613,1390,0.009618870176905214,0.039104829605770094,0.07441736118152638,16.14456317656136,0.004793957266419532,0.9993687142937572,0.5810162165560595,-0.09573081816251988,0.2505235100694109
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,29,0.09827452125175305,0.09649383562086362,1.018453879664251,0.30846230802192254,1389,0.01052163542366491,0.052320767577976005,0.07357103218499027,16.14456317656136,0.00608715888915643,0.9993687142937572,0.558434820953431,-0.09085339656513965,0.28740243906864577
hist,尖椒,volume,z,precip_3d,3日累计降水,mm,30,0.1850042701926706,0.13184198732701094,1.4032272566841695,0.16054908214165853,1389,0.0165454119846703,0.09639731256995956,0.09400965827947097,16.14456317656136,0.011459230464733749,0.9993687142937572,0.558434820953431,-0.07340602496827084,0.443414565353612
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,0,0.052036309767883676,0.1295940060482184,0.40153330662933884,0.68802752138139,1410,0.00880488748984709,0.028924881376758662,0.06237750821760707,28.659743783036618,0.0018156585823591133,0.9993687142937572,0.68802752138139,-0.2019679420866244,0.3060405616223918
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,1,0.054123828088165446,0.12342866195630249,0.43850291520884294,0.6610217573653647,1409,0.009031165660336793,0.02931186274750328,0.05560654949257447,28.659743783036618,0.00188849657896107,0.9993687142937572,0.6830558159442102,-0.18779634934618744,0.2960440055225183
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,2,0.07175787588739738,0.11995219116149683,0.5982206343424493,0.5496927249503649,1409,0.009508990346318469,0.03780594175804924,0.048854570696555646,28.659743783036618,0.0025037863712469776,0.9993687142937572,0.5876025680503901,-0.16334841878913642,0.30686417056393117
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,3,0.08982274379122618,0.117674856208108,0.763312968340277,0.44527676983080033,1409,0.010164014403614474,0.046759678949493386,0.051103435029030544,28.659743783036618,0.0031341084020573575,0.9993687142937572,0.4929849951698147,-0.1408199743766655,0.32046546195911785
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,4,0.0914050870707805,0.11270073445306415,0.8110425146239617,0.41734125620698936,1408,0.010259924458827174,0.048392482896620584,0.05931115732579848,28.659743783036618,0.003189319756755193,0.9993687142937572,0.4791695904598767,-0.12948835245722523,0.31229852659878626
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,5,0.10427284915788261,0.11214917216309998,0.9297692274200408,0.35249058237556574,1407,0.010826640738358151,0.054131320001235904,0.06116603221958245,28.659743783036618,0.003638303606175312,0.9993687142937572,0.4553003355684391,-0.11553952828179335,0.32408522659755856
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,6,0.10046458350836125,0.11199657682281451,0.897032626874859,0.3697015073540876,1406,0.010622915854592074,0.051745802533619635,0.0556311005036698,28.659743783036618,0.003505425040394992,0.9993687142937572,0.45842986911906863,-0.11904870706435518,0.3199778740810777
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,7,0.09747278085146352,0.11222954818529035,0.8685126370689519,0.385113757311092,1405,0.010509769559744142,0.05060920256705084,0.050934183864932744,28.659743783036618,0.0034010346215710614,0.9993687142937572,0.4591740952555327,-0.12249713359170555,0.3174426952946326
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,8,0.109833591690604,0.11559820912287577,0.9501322946435594,0.3420450355365292,1404,0.011113310322867442,0.05721845253022573,0.053006227750944324,28.659743783036618,0.0038323298534027115,0.9993687142937572,0.4553003355684391,-0.1167388981902325,0.3364060815714405
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,9,0.12313532353519764,0.12083179824256512,1.0190638997857855,0.30817263124096383,1404,0.011757307084459767,0.06327030095403918,0.050903645614024995,28.659743783036618,0.004296455839499866,0.9993687142937572,0.4553003355684391,-0.11369500102022999,0.35996564809062526
hist,尖椒,volume,z,precip_7d,7日累计降水,mm,10,0.12798370466400416,0.12151311820966428,1.0532501062410007,0.2922263794209271,1404,0.012043001595441583,0.06503393218384189,0.05008349403380577,28.659743783036618,0.004465626267732243,0.9993687142937572,0.4553003355684391,-0.11018200702693781,0.36614941635494613
