target,feature_set,feature,z_value,original_value,ale,mean_abs_shap
price,F_lag,temp_max_lag14d,-0.7346076681924111,5.600000000000001,0.1353747416924882,0.009683250289181322
price,F_lag,temp_max_lag14d,-0.4166037139053942,9.649999999999999,0.15512781924005156,0.009683250289181322
price,F_lag,temp_max_lag14d,-0.15827457573149617,12.940000000000003,0.15530385300478697,0.009683250289181322
price,F_lag,temp_max_lag14d,0.06550598469270091,15.790000000000003,0.1547453683955205,0.009683250289181322
price,F_lag,temp_max_lag14d,0.3097016137871754,18.9,0.15902376727854126,0.009683250289181322
price,F_lag,temp_max_lag14d,0.5609639974213616,22.1,0.16003523571047484,0.009683250289181322
price,F_lag,temp_max_lag14d,0.7062250629598755,23.95,0.1595186707047598,0.009683250289181322
price,F_lag,temp_max_lag14d,0.8083004063112638,25.25,0.1595186707047598,0.009683250289181322
price,F_lag,temp_max_lag14d,0.914301724406936,26.6,0.1595186707047598,0.009683250289181322
price,F_lag,temp_max_lag14d,1.0085251182697559,27.8,0.1595186707047598,0.009683250289181322
price,F_lag,temp_max_lag14d,1.0807630535645847,28.720000000000006,0.1599441925143924,0.009683250289181322
price,F_lag,temp_max_lag14d,1.1435786494731313,29.520000000000003,0.1599441925143924,0.009683250289181322
price,F_lag,temp_max_lag14d,1.2048238554839639,30.3,0.16009034985140416,0.009683250289181322
price,F_lag,temp_max_lag14d,1.3775667442324668,32.5,0.16009034985140416,0.009683250289181322
price,F_lag,temp_max_lag14d,1.6013473046566638,35.349999999999994,0.16009034985140416,0.009683250289181322
price,F_lag,vpd_lag14d,-1.2821902338302664,0.13000000000000012,-0.06646645234187334,0.009605203602769367
price,F_lag,vpd_lag14d,-1.2190638277921788,0.18000000000000005,-0.06646645234187334,0.009605203602769367
price,F_lag,vpd_lag14d,-1.1559374217540912,0.22999999999999998,-0.0502996649845139,0.009605203602769367
price,F_lag,vpd_lag14d,-1.0183218565910601,0.33899999999999997,-0.05008871486346494,0.009605203602769367
price,F_lag,vpd_lag14d,-0.8478805602882233,0.474,-0.06467787557318415,0.009605203602769367
price,F_lag,vpd_lag14d,-0.7203652200912862,0.575,-0.03911310307268149,0.009605203602769367
