target_kind,target,feature_set,model,rmse_test,r2_test,best_baseline,best_baseline_rmse,beats_baseline,complex_beats_simple,mae_test,n_test
strict,volume,F_lag,baseline_seasonal_naive,0.08687071303380636,-0.04619201779415749,baseline_persistence,0.03197814092888266,False,False,0.06532481181960453,1750
strict,volume,F_lag,baseline_persistence,0.03197814092888266,0.858234336777375,baseline_persistence,0.03197814092888266,False,False,0.01881529057909841,1750
strict,volume,F_lag,elasticnet,0.031206240122472605,0.8649957247990908,baseline_persistence,0.03197814092888266,True,True,0.021587768232978005,1750
strict,volume,F_lag,gam,0.04275477056458245,0.7465841408851348,baseline_persistence,0.03197814092888266,False,False,0.03289574732921562,1750
strict,volume,F_lag,lightgbm,0.041297131842039404,0.763569004902886,baseline_persistence,0.03197814092888266,False,False,0.03087629603877075,1750
strict,volume,F_now,baseline_mean,0.059175701055949645,0.5145422338162073,baseline_persistence,0.03197814092888266,False,False,0.046583435634024714,1750
strict,volume,F_now,baseline_seasonal_naive,0.08687071303380636,-0.04619201779415749,baseline_persistence,0.03197814092888266,False,False,0.06532481181960453,1750
strict,volume,F_now,baseline_persistence,0.03197814092888266,0.858234336777375,baseline_persistence,0.03197814092888266,False,False,0.01881529057909841,1750
strict,volume,F_now,elasticnet,0.031236489743645995,0.8647338664345239,baseline_persistence,0.03197814092888266,True,True,0.021694624691403826,1750
strict,volume,F_now,gam,0.05435866390970341,0.5903601703080996,baseline_persistence,0.03197814092888266,False,False,0.03905244149668877,1750
strict,volume,F_now,lightgbm,0.041669577333179816,0.7592851848926324,baseline_persistence,0.03197814092888266,False,False,0.031081872476246337,1750
strict,volume,F_wx,baseline_mean,0.059175701055949645,0.5145422338162073,baseline_persistence,0.03197814092888266,False,False,0.046583435634024714,1750
strict,volume,F_wx,baseline_seasonal_naive,0.08687071303380636,-0.04619201779415749,baseline_persistence,0.03197814092888266,False,False,0.06532481181960453,1750
strict,volume,F_wx,baseline_persistence,0.03197814092888266,0.858234336777375,baseline_persistence,0.03197814092888266,False,False,0.01881529057909841,1750
strict,volume,F_wx,elasticnet,0.0804452501547814,0.10284921237470157,baseline_persistence,0.03197814092888266,False,False,0.05987037170362812,1750
strict,volume,F_wx,gam,0.10868533053158057,-0.6375949510854395,baseline_persistence,0.03197814092888266,False,False,0.08502794862660377,1750
strict,volume,F_wx,lightgbm,0.08008121189241992,0.11095057918668128,baseline_persistence,0.03197814092888266,False,False,0.06131722823035701,1750
